user_id,basket_id,product1,product2,product3,product4,product5,product6,product7,product8,product9,,,
757c8703-3bef-437a-af20-e45762596aee,1,shrimp,avocado,mineralwater,eggs,spaghetti,chocolate,milk,frenchfries,greentea,,,
757c8703-3bef-437a-af20-e45762596aee,2,burgers,turkey,tomatoes,,,,,,,,,
757c8703-3bef-437a-af20-e45762596aee,3,groundbeef,,,,,,,,,,,
757c8703-3bef-437a-af20-e45762596aee,4,soup,cookies,,,,,,,,,,
757c8703-3bef-437a-af20-e45762596aee,5,frozenvegetables,pancakes,energybar,oliveoil,honey,,,,,,,
757c8703-3bef-437a-af20-e45762596aee,6,mineralwater,,,,,,,,,,,
757c8703-3bef-437a-af20-e45762596aee,7,shrimp,avocado,,,,,,,,,,
757c8703-3bef-437a-af20-e45762596aee,8,spaghetti,chocolate,milk,,,,,,,,,
757c8703-3bef-437a-af20-e45762596aee,9,frenchfries,greentea,burgers,,,,,,,,,
757c8703-3bef-437a-af20-e45762596aee,10,turkey,,,,,,,,,,,
757c8703-3bef-437a-af20-e45762596aee,11,tomatoes,groundbeef,soup,,,,,,,,,
757c8703-3bef-437a-af20-e45762596aee,12,cookies,frozenvegetables,pancakes,,,,,,,,,
757c8703-3bef-437a-af20-e45762596aee,13,energybar,oliveoil,honey,mineralwater,eggs,,,,,,,
757c8703-3bef-437a-af20-e45762596aee,14,spaghetti,chocolate,,,,,,,,,,
757c8703-3bef-437a-af20-e45762596aee,15,milk,frenchfries,,,,,,,,,,
757c8703-3bef-437a-af20-e45762596aee,16,greentea,burgers,turkey,tomatoes,,,,,,,,
757c8703-3bef-437a-af20-e45762596aee,17,shrimp,avocado,mineralwater,,,,,,,,,
757c8703-3bef-437a-af20-e45762596aee,18,eggs,spaghetti,chocolate,milk,frenchfries,greentea,,,,,,
757c8703-3bef-437a-af20-e45762596aee,19,burgers,turkey,tomatoes,groundbeef,soup,,,,,,,
757c8703-3bef-437a-af20-e45762596aee,20,cookies,frozenvegetables,pancakes,energybar,,,,,,,,
757c8703-3bef-437a-af20-e45762596aee,21,oliveoil,honey,mineralwater,eggs,spaghetti,,,,,,,
757c8703-3bef-437a-af20-e45762596aee,22,chocolate,milk,frenchfries,,,,,,,,,
757c8703-3bef-437a-af20-e45762596aee,23,greentea,burgers,turkey,,,,,,,,,
757c8703-3bef-437a-af20-e45762596aee,24,tomatoes,groundbeef,soup,cookies,frozenvegetables,pancakes,energybar,oliveoil,honey,,,
757c8703-3bef-437a-af20-e45762596aee,25,mineralwater,eggs,,,,,,,,,,
757c8703-3bef-437a-af20-e45762596aee,26,spaghetti,chocolate,milk,frenchfries,greentea,burgers,,,,,,
757c8703-3bef-437a-af20-e45762596aee,27,turkey,tomatoes,groundbeef,,,,,,,,,
757c8703-3bef-437a-af20-e45762596aee,28,soup,cookies,,,,,,,,,,
757c8703-3bef-437a-af20-e45762596aee,29,frozenvegetables,pancakes,energybar,oliveoil,honey,mineralwater,eggs,spaghetti,,,,
757c8703-3bef-437a-af20-e45762596aee,30,chocolate,,,,,,,,,,,
757c8703-3bef-437a-af20-e45762596aee,31,milk,frenchfries,greentea,,,,,,,,,
757c8703-3bef-437a-af20-e45762596aee,32,burgers,turkey,tomatoes,groundbeef,soup,,,,,,,
757c8703-3bef-437a-af20-e45762596aee,33,cookies,frozenvegetables,pancakes,,,,,,,,,
757c8703-3bef-437a-af20-e45762596aee,34,energybar,oliveoil,honey,mineralwater,,,,,,,,
757c8703-3bef-437a-af20-e45762596aee,35,eggs,spaghetti,,,,,,,,,,
757c8703-3bef-437a-af20-e45762596aee,36,chocolate,milk,frenchfries,greentea,burgers,turkey,,,,,,
757c8703-3bef-437a-af20-e45762596aee,37,tomatoes,groundbeef,soup,cookies,,,,,,,,
757c8703-3bef-437a-af20-e45762596aee,38,frozenvegetables,pancakes,energybar,,,,,,,,,
757c8703-3bef-437a-af20-e45762596aee,39,oliveoil,honey,mineralwater,eggs,spaghetti,chocolate,milk,frenchfries,greentea,,,
757c8703-3bef-437a-af20-e45762596aee,40,burgers,,,,,,,,,,,
757c8703-3bef-437a-af20-e45762596aee,41,turkey,tomatoes,groundbeef,,,,,,,,,
757c8703-3bef-437a-af20-e45762596aee,42,soup,cookies,frozenvegetables,,,,,,,,,
757c8703-3bef-437a-af20-e45762596aee,43,pancakes,energybar,oliveoil,honey,,,,,,,,
757c8703-3bef-437a-af20-e45762596aee,44,mineralwater,eggs,spaghetti,chocolate,milk,,,,,,,
757c8703-3bef-437a-af20-e45762596aee,45,frenchfries,greentea,burgers,,,,,,,,,
757c8703-3bef-437a-af20-e45762596aee,46,turkey,tomatoes,groundbeef,soup,cookies,frozenvegetables,pancakes,,,,,
757c8703-3bef-437a-af20-e45762596aee,47,energybar,oliveoil,honey,mineralwater,eggs,spaghetti,,,,,,
757c8703-3bef-437a-af20-e45762596aee,48,chocolate,milk,frenchfries,,,,,,,,,
757c8703-3bef-437a-af20-e45762596aee,49,greentea,burgers,turkey,tomatoes,,,,,,,,
757c8703-3bef-437a-af20-e45762596aee,50,groundbeef,soup,cookies,frozenvegetables,pancakes,energybar,,,,,,
